,日期,ABCDE每天总交易额,ABCDE每天总交易量
150,5月31日,0,0
151,6月1日,250.5,58
152,6月2日,140.6,40
153,6月3日,156.5,45
154,6月4日,256.8,50
155,6月5日,164.4,44
156,6月6日,103.7,27
157,6月7日,141.9,37
158,6月8日,109.9,27
159,6月9日,147.4,40
160,6月10日,133.7,34
161,6月11日,195.9,47
162,6月12日,115.6,28
163,6月13日,79.5,21
164,6月14日,93.3,19
165,6月15日,111.2,28
166,6月16日,125.8,28
167,6月17日,155.2,35
168,6月18日,92.6,24
169,6月19日,118,22
170,6月20日,126.1,32
171,6月21日,100.1,21
172,6月22日,183.9,44
173,6月23日,147.5,45
174,6月24日,155.9,39
175,6月25日,150.7,39
176,6月26日,121.9,29
177,6月27日,91.5,27
178,6月28日,122.2,35
179,6月29日,132.7,35
180,6月30日,162,40
181,7月1日,106,27
182,7月2日,63.8,17
183,7月3日,24.5,8
184,7月4日,138.5,18
185,7月5日,45.1,11
186,7月6日,14.5,2
187,7月7日,71.2,18
188,7月8日,36,6
189,7月9日,2,1
190,7月10日,4,1
191,7月11日,26,7
192,7月12日,0,0
193,7月13日,0,0
194,7月14日,0,0
195,7月15日,0,0
196,7月16日,6.5,2
197,7月17日,1,1
198,7月18日,11.5,3
199,7月19日,20.3,3
200,7月20日,15.5,4
201,7月21日,3,1
202,7月22日,7,2
203,7月23日,15,4
204,7月24日,204.2,40
205,7月25日,68.6,18
206,7月26日,53.5,12
207,7月27日,97,26
208,7月28日,32.5,9
209,7月29日,11.3,4
210,7月30日,152.2,46
211,7月31日,110.1,26
212,8月1日,152,44
213,8月2日,64,18
214,8月3日,43,14
215,8月4日,89.5,30
216,8月5日,49.5,15
217,8月6日,61,19
218,8月7日,51,13
219,8月8日,112.6,32
220,8月9日,46,15
221,8月10日,32.5,11
222,8月11日,87.5,25
223,8月12日,61,19
224,8月13日,90,25
225,8月14日,83.5,25
226,8月15日,79,26
227,8月16日,59,17
228,8月17日,127,43
229,8月18日,189,52
230,8月19日,91.5,29
231,8月20日,173.3,55
232,8月21日,50.5,18
233,8月22日,5.5,2
234,8月23日,50,12
235,8月24日,60.5,17
236,8月25日,111.5,33
237,8月26日,51,18
238,8月27日,70.5,20
239,8月28日,79,22
240,8月29日,55,15
241,8月30日,70.9,21
242,8月31日,25,10
243,9月1日,77,21
244,9月2日,67.9,16
245,9月3日,87,25
246,9月4日,61.4,13
247,9月5日,27,8
248,9月6日,120.8,31
249,9月7日,98.5,29
250,9月8日,140.5,32
251,9月9日,96.5,27
252,9月10日,97.5,22
253,9月11日,129.5,31
254,9月12日,72.1,19
255,9月13日,89.3,25
256,9月14日,159.6,43
257,9月15日,138,39
258,9月16日,135.5,36
259,9月17日,284.1,75
260,9月18日,110.8,29
261,9月19日,64,15
262,9月20日,137.5,39
263,9月21日,121,36
264,9月22日,221,55
265,9月23日,97,28
266,9月24日,213.9,56
267,9月25日,84,17
268,9月26日,25.6,9
269,9月27日,213,50
270,9月28日,170.6,47
271,9月29日,192.9,50
272,9月30日,299.6,60
273,10月1日,49.5,11
274,10月2日,117.7,20
275,10月3日,93.8,21
276,10月4日,123.6,35
277,10月5日,91.1,29
278,10月6日,141.2,36
279,10月7日,147,39
280,10月8日,87,19
281,10月9日,123.3,25
282,10月10日,168.9,39
283,10月11日,155.2,39
284,10月12日,239.6,59
285,10月13日,150.2,35
286,10月14日,209.6,57
287,10月15日,156,39
288,10月16日,162.3,36
289,10月17日,200.2,48
290,10月18日,204.3,51
291,10月19日,152,43
292,10月20日,208,57
293,10月21日,169,44
294,10月22日,95.5,29
295,10月23日,80.5,22
296,10月24日,105.3,31
297,10月25日,125.6,34
298,10月26日,162.8,48
299,10月27日,187.3,54
300,10月28日,246.1,70
301,10月29日,255.6,63
302,10月30日,136.7,36
303,10月31日,61.8,17
304,11月1日,221.8,56
305,11月2日,116.5,33
306,11月3日,39.5,12
307,11月4日,187.5,54
308,11月5日,199.8,57
309,11月6日,218,58
310,11月7日,274.8,73
311,11月8日,256.8,67
312,11月9日,180,51
313,11月10日,52,13
314,11月11日,207.8,53
315,11月12日,217.3,59
316,11月13日,335.2,69
317,11月14日,302.8,78
318,11月15日,283.9,78
319,11月16日,250.6,69
320,11月17日,161,37
321,11月18日,341,78
322,11月19日,276,70
323,11月20日,348.1,87
324,11月21日,25.5,7
325,11月22日,6.5,2
326,11月23日,6.5,2
327,11月24日,9.5,3
328,11月25日,19,6
329,11月26日,12,3
330,11月27日,28.5,9
331,11月28日,42.5,11
332,11月29日,41,11
333,11月30日,12,4
334,12月1日,231.4,65
335,12月2日,291.3,70
336,12月3日,329.6,74
337,12月4日,386.3,96
338,12月5日,387.1,108
339,12月6日,259.7,59
340,12月7日,371,89
341,12月8日,206.2,68
342,12月9日,245.9,70
343,12月10日,263.7,68
344,12月11日,319.2,77
345,12月12日,196.4,79
346,12月13日,139.4,46
347,12月14日,243.3,71
348,12月15日,92.5,33
349,12月16日,162.5,39
350,12月17日,76,26
351,12月18日,171.5,57
352,12月19日,83,25
353,12月20日,136,32
354,12月21日,70,20
355,12月22日,92,28
356,12月23日,222.5,66
357,12月24日,159.1,46
358,12月25日,191.5,55
359,12月26日,155,54
360,12月27日,175.1,48
361,12月28日,142.5,50
362,12月29日,18,4
363,12月30日,31,8
364,12月31日,92.5,32
