,日期,ABCDE每天总交易额,ABCDE每天总交易量
117,4月28日,74.5,21
118,4月29日,132.4,24
119,4月30日,82.1,20
120,5月1日,79.3,22
121,5月2日,108.1,23
122,5月3日,60.9,15
123,5月4日,68.7,15
124,5月5日,63.6,15
125,5月6日,120,20
126,5月7日,143.9,23
127,5月8日,51.4,14
128,5月9日,98.9,21
129,5月10日,64,15
130,5月11日,67.3,15
131,5月12日,109.5,25
132,5月13日,85.7,23
133,5月14日,93.3,20
134,5月15日,98.9,15
135,5月16日,105.4,20
136,5月17日,40.4,14
137,5月18日,72.5,19
138,5月19日,144.4,38
139,5月20日,116.5,29
140,5月21日,160.6,32
141,5月22日,177.4,36
142,5月23日,182.9,34
143,5月24日,159.3,25
144,5月25日,176,44
145,5月26日,151.3,42
146,5月27日,134.8,33
147,5月28日,130.6,30
148,5月29日,129.9,30
149,5月30日,189.6,49
150,5月31日,0,0
151,6月1日,303.6,76
152,6月2日,275,78
153,6月3日,204.7,54
154,6月4日,426.1,80
155,6月5日,311,84
156,6月6日,147.5,42
157,6月7日,158.9,47
158,6月8日,185.4,49
159,6月9日,186.3,46
160,6月10日,191.7,50
161,6月11日,158,39
162,6月12日,150,36
163,6月13日,98.3,27
164,6月14日,143.6,33
165,6月15日,149.3,34
166,6月16日,177.7,35
167,6月17日,195.9,50
168,6月18日,229.4,44
169,6月19日,123.6,27
170,6月20日,167.7,41
171,6月21日,223,37
172,6月22日,158.2,37
173,6月23日,385.7,90
174,6月24日,224.5,64
175,6月25日,172.2,49
176,6月26日,264.1,65
177,6月27日,372.4,102
178,6月28日,355.4,84
179,6月29日,188.5,48
180,6月30日,427.4,121
181,7月1日,146.3,34
182,7月2日,121.1,22
183,7月3日,53.1,13
184,7月4日,89.3,25
185,7月5日,86.7,20
186,7月6日,0,0
187,7月7日,113.5,25
188,7月8日,4,2
189,7月9日,3.5,1
190,7月10日,0,0
191,7月11日,8,2
192,7月12日,12,3
193,7月13日,7,2
194,7月14日,12.1,3
195,7月15日,30,4
196,7月16日,10,2
197,7月17日,0,0
198,7月18日,28.8,8
199,7月19日,34,9
200,7月20日,8.5,2
201,7月21日,11.5,3
202,7月22日,0,0
203,7月23日,114.1,36
204,7月24日,246.8,52
205,7月25日,101.8,26
206,7月26日,125.6,24
207,7月27日,227.7,54
208,7月28日,51,14
209,7月29日,24.5,6
210,7月30日,120.7,43
211,7月31日,158.9,41
212,8月1日,85,29
213,8月2日,52,17
214,8月3日,32.5,10
215,8月4日,162.3,38
216,8月5日,84,28
217,8月6日,68.4,20
218,8月7日,20.3,6
219,8月8日,59.5,19
220,8月9日,58.5,18
221,8月10日,17,6
222,8月11日,44,15
223,8月12日,63.5,17
224,8月13日,72.1,21
225,8月14日,93.7,31
226,8月15日,74.8,24
227,8月16日,38,15
228,8月17日,263.9,87
229,8月18日,134.1,35
230,8月19日,65.5,20
231,8月20日,116.5,39
232,8月21日,64.3,19
233,8月22日,46.5,11
234,8月23日,78.5,21
235,8月24日,64.3,20
236,8月25日,79.5,21
237,8月26日,28.5,8
238,8月27日,34,9
239,8月28日,63.3,13
240,8月29日,33.5,12
241,8月30日,119.4,31
242,8月31日,19.5,6
243,9月1日,64.1,18
244,9月2日,130.8,30
245,9月3日,145.4,36
246,9月4日,46,14
247,9月5日,40,9
248,9月6日,175,34
249,9月7日,166.1,29
250,9月8日,144.5,28
251,9月9日,89.8,24
252,9月10日,123.2,31
253,9月11日,164.6,44
254,9月12日,44.5,12
255,9月13日,100.9,27
256,9月14日,192.2,48
257,9月15日,270,57
258,9月16日,163.6,35
259,9月17日,382.8,84
260,9月18日,111,24
261,9月19日,42,8
262,9月20日,201.4,48
263,9月21日,172.5,40
264,9月22日,204.8,50
265,9月23日,153.8,36
266,9月24日,246.3,62
267,9月25日,93.6,24
268,9月26日,47.4,11
269,9月27日,181.5,46
270,9月28日,154.9,35
271,9月29日,232,48
272,9月30日,194.8,48
273,10月1日,105.4,28
274,10月2日,138,32
275,10月3日,57.6,14
276,10月4日,163.4,39
277,10月5日,187.9,42
278,10月6日,186.2,54
279,10月7日,158.7,46
280,10月8日,130.6,33
281,10月9日,105.6,29
282,10月10日,210.1,52
283,10月11日,242.7,47
284,10月12日,252.7,61
285,10月13日,131.3,35
286,10月14日,297.8,67
287,10月15日,181.3,53
288,10月16日,179.9,47
289,10月17日,213.5,51
290,10月18日,231.8,70
291,10月19日,140.5,36
292,10月20日,245.8,63
293,10月21日,327.4,78
294,10月22日,170.7,46
295,10月23日,143.8,32
296,10月24日,273.7,71
297,10月25日,265.5,66
298,10月26日,262.6,68
299,10月27日,265.8,66
300,10月28日,319.1,75
301,10月29日,306.4,75
302,10月30日,245.7,53
303,10月31日,150.9,36
304,11月1日,225,56
305,11月2日,149,37
306,11月3日,81.5,12
307,11月4日,235.4,48
308,11月5日,188.7,48
309,11月6日,236.9,58
310,11月7日,233,56
311,11月8日,224.4,51
312,11月9日,136.7,33
313,11月10日,63.1,21
314,11月11日,255.1,56
315,11月12日,202.3,51
316,11月13日,356.9,77
317,11月14日,424.9,68
318,11月15日,472.5,91
319,11月16日,144.4,34
320,11月17日,137.5,33
321,11月18日,347,78
322,11月19日,385.7,90
323,11月20日,509,111
324,11月21日,17.9,5
325,11月22日,7,2
326,11月23日,5,2
327,11月24日,22.5,7
328,11月25日,8,3
329,11月26日,7.5,2
330,11月27日,21,5
331,11月28日,49,14
332,11月29日,22.5,6
333,11月30日,17.6,5
334,12月1日,382,100
335,12月2日,399.9,96
336,12月3日,356.5,86
337,12月4日,543.6,129
338,12月5日,521.3,130
339,12月6日,216.1,61
340,12月7日,349.5,85
341,12月8日,380.4,87
342,12月9日,432.7,105
343,12月10日,305.3,72
344,12月11日,330.2,76
345,12月12日,413.6,129
346,12月13日,199,60
347,12月14日,337,90
348,12月15日,143,46
349,12月16日,272.3,87
350,12月17日,139.7,49
351,12月18日,223.8,69
352,12月19日,148.5,54
353,12月20日,98,31
354,12月21日,75.5,22
355,12月22日,107.3,27
356,12月23日,202.3,61
357,12月24日,161.5,41
358,12月25日,167.4,42
359,12月26日,128.5,42
360,12月27日,223.3,47
361,12月28日,137.1,32
362,12月29日,45.5,13
363,12月30日,78.8,18
364,12月31日,67.5,16
