,日期,ABCDE每天总交易额,ABCDE每天总交易量
268,9月26日,188.6,49
269,9月27日,735.2,172
270,9月28日,550.2,142
271,9月29日,863,193
272,9月30日,879.9,215
273,10月1日,84.5,33
274,10月2日,70.5,25
275,10月3日,143.5,52
276,10月4日,370,81
277,10月5日,111.1,40
278,10月6日,240.8,76
279,10月7日,257.8,79
280,10月8日,243.9,72
281,10月9日,126,40
282,10月10日,229.6,71
283,10月11日,324.2,110
284,10月12日,418.9,106
285,10月13日,179,58
286,10月14日,498.9,128
287,10月15日,426,118
288,10月16日,203.5,57
289,10月17日,316.9,91
290,10月18日,451.5,121
291,10月19日,399.2,115
292,10月20日,351.6,101
293,10月21日,458.8,124
294,10月22日,189,54
295,10月23日,222.6,63
296,10月24日,377.4,101
297,10月25日,279.8,76
298,10月26日,477.6,114
299,10月27日,640.9,159
300,10月28日,616.1,153
301,10月29日,770.1,196
302,10月30日,443.4,107
303,10月31日,285.5,56
304,11月1日,963.3,217
305,11月2日,539.3,118
306,11月3日,291,59
307,11月4日,735.9,189
308,11月5日,1142.7,256
309,11月6日,1083.6,236
310,11月7日,1026.2,242
311,11月8日,1360.5,319
312,11月9日,776.1,167
313,11月10日,240.9,62
314,11月11日,955.9,232
315,11月12日,1202.7,281
316,11月13日,1161.7,272
317,11月14日,1333.7,322
318,11月15日,1514.3,349
319,11月16日,893.1,219
320,11月17日,588.1,143
321,11月18日,1464,343
322,11月19日,1449.2,341
323,11月20日,2087.1,473
324,11月21日,125,29
325,11月22日,22.5,6
326,11月23日,14,4
327,11月24日,67,17
328,11月25日,55,14
329,11月26日,38.5,12
330,11月27日,49,10
331,11月28日,134,33
332,11月29日,119.5,34
333,11月30日,68,21
334,12月1日,639.7,142
335,12月2日,806.5,168
336,12月3日,604,104
337,12月4日,646.4,111
338,12月5日,766.9,192
339,12月6日,402.5,104
340,12月7日,376.5,82
341,12月8日,467.4,107
342,12月9日,596,140
343,12月10日,370,87
344,12月11日,367.1,125
345,12月12日,315.2,87
346,12月13日,643.3,82
347,12月14日,667.9,134
348,12月15日,513,120
349,12月16日,513.7,122
350,12月17日,367.3,88
351,12月18日,1072.6,276
352,12月19日,514,138
353,12月20日,277.6,80
354,12月21日,300.6,93
355,12月22日,296.8,81
356,12月23日,310.9,87
357,12月24日,274.3,84
358,12月25日,340.8,105
359,12月26日,258.8,80
360,12月27日,184.9,55
361,12月28日,300.5,81
362,12月29日,140,33
363,12月30日,90.5,19
364,12月31日,131.8,45
