,日期,ABCDE每天总交易额,ABCDE每天总交易量
245,9月3日,174.9,44
246,9月4日,106.5,18
247,9月5日,138,17
248,9月6日,192.1,50
249,9月7日,205.6,53
250,9月8日,276,65
251,9月9日,199.5,52
252,9月10日,224.8,55
253,9月11日,276.5,65
254,9月12日,106.5,25
255,9月13日,174.5,35
256,9月14日,226.1,59
257,9月15日,263.8,62
258,9月16日,242.6,52
259,9月17日,635.7,125
260,9月18日,176,47
261,9月19日,78.9,21
262,9月20日,338.4,78
263,9月21日,222.8,57
264,9月22日,277.6,67
265,9月23日,498.1,92
266,9月24日,351.7,79
267,9月25日,245.3,45
268,9月26日,126.8,29
269,9月27日,215.1,55
270,9月28日,290.9,65
271,9月29日,381.5,90
272,9月30日,414.1,86
273,10月1日,137.6,30
274,10月2日,212.4,46
275,10月3日,188,49
276,10月4日,289.2,65
277,10月5日,276,69
278,10月6日,306.4,77
279,10月7日,267.1,71
280,10月8日,300,50
281,10月9日,283.3,63
282,10月10日,407.7,101
283,10月11日,364,77
284,10月12日,535.4,132
285,10月13日,325.2,73
286,10月14日,404.1,104
287,10月15日,331.5,82
288,10月16日,454.2,90
289,10月17日,271.1,58
290,10月18日,421.3,98
291,10月19日,514.4,123
292,10月20日,340.4,80
293,10月21日,346.4,80
294,10月22日,175.5,40
295,10月23日,233,46
296,10月24日,266.4,64
297,10月25日,252.8,57
298,10月26日,249.8,64
299,10月27日,347.1,89
300,10月28日,284.6,71
301,10月29日,310,79
302,10月30日,272.1,67
303,10月31日,102.7,21
304,11月1日,404.3,95
305,11月2日,285.5,64
306,11月3日,108.5,29
307,11月4日,313.4,75
308,11月5日,328,75
309,11月6日,514.9,117
310,11月7日,417.7,108
311,11月8日,427.5,104
312,11月9日,387.6,70
313,11月10日,77.3,21
314,11月11日,369.9,96
315,11月12日,399.4,99
316,11月13日,517.7,116
317,11月14日,463.4,102
318,11月15日,654.6,140
319,11月16日,286,70
320,11月17日,161.5,44
321,11月18日,703,135
322,11月19日,503,122
323,11月20日,894,187
324,11月21日,39,14
325,11月22日,6.5,2
326,11月23日,12.5,4
327,11月24日,33.5,11
328,11月25日,20.5,5
329,11月26日,12,4
330,11月27日,11,3
331,11月28日,19,7
332,11月29日,61.5,17
333,11月30日,24,7
334,12月1日,394.9,79
335,12月2日,232.1,51
336,12月3日,336.3,74
337,12月4日,597.8,132
338,12月5日,577.5,126
339,12月6日,202.5,50
340,12月7日,303.2,70
341,12月8日,355.9,79
342,12月9日,351.5,78
343,12月10日,479.1,120
344,12月11日,575.4,138
345,12月12日,427.9,112
346,12月13日,338.9,106
347,12月14日,375.9,107
348,12月15日,267.9,90
349,12月16日,401.7,114
350,12月17日,202.6,61
351,12月18日,347.5,95
352,12月19日,261.3,75
353,12月20日,98.5,28
354,12月21日,204.7,49
355,12月22日,211,58
356,12月23日,258.8,65
357,12月24日,237,66
358,12月25日,354.2,89
359,12月26日,295.5,78
360,12月27日,226.5,65
361,12月28日,249.1,66
362,12月29日,62.3,13
363,12月30日,55.5,17
364,12月31日,97.5,28
